state_code,dist_code,pending_cases
23,37,6397
23,38,11332
23,39,7448
23,40,8926
23,41,3801
23,42,7726
23,43,12410
23,44,15519
23,45,14713
23,46,12771
23,47,47453
23,48,4129
23,49,3175
23,50,11748
24,1,121
24,2,19
24,3,58
24,4,515
25,1,705
25,2,1674
25,3,209
25,4,327
25,5,53
25,6,65
25,9,55
26,1,6590
26,2,14335
26,3,11990
26,4,15524
26,5,12513
26,6,18574
26,7,23112
26,8,20296
26,9,20493
26,10,10715
26,11,14085
27,1,12030
29,1,5873
29,2,28501
29,3,13992
29,4,11236
29,5,11865
29,6,9588
29,7,16016
29,8,6711
29,9,31256
29,10,14589
30,1,9672
30,2,5803
